Ingredients,Description,Allergies,Verified From
Selenium,"Antioxidant supporting thyroid health, found in nuts and seafood.","['Tree Nuts', 'Shellfish']",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Zinc,"Supports immune function, found in meat, shellfish, and seeds.",['Shellfish'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Dietary Fibers,"Essential for digestive health, found in https://www.who.int/teams/nutrition-and-food-safetyle grains, fruits, and vegetables.","['Wheat', 'Barley', 'Tree Nuts']",https://www.who.int/teams/nutrition-and-food-safety
Milk,"Rich in calcium and protein, essential for bone health.",['Milk'],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Tree Nuts,"Nutrient-dense, providing healthy fats, vitamins, and minerals.",['Tree Nuts'],https://www.who.int/teams/nutrition-and-food-safety
Wheat,A common cereal grain rich in carbohydrates and some protein.,"['Wheat', 'Gluten']",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Barley,"A high-fiber cereal grain used in soups, bread, and beverages.","['Barley', 'Gluten']",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Soy,"A protein-rich legume used in soy milk, tofu, and processed foods.",['Soy'],https://www.who.int/teams/nutrition-and-food-safety
"Emulsifiers (442, 476)",Additives used to improve texture and stability in processed foods.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Artificial Flavours,Chemically synthesized to mimic natural flavors.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Natural Flavours,Extracted from natural sources to enhance taste.,"['Milk', 'Soy', 'Nuts']",https://www.who.int/teams/nutrition-and-food-safety
Emulsifiers (442),An additive used for smooth texture in chocolates and baked goods.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Emulsifiers (322),"Lecithin, derived from soy or eggs, used as a stabilizer.","['Soy', 'Eggs']",https://www.who.int/teams/nutrition-and-food-safety
Iodised Salt,Table salt fortified with iodine for thyroid health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Refined Wheat Flour,"Finely milled wheat flour, used in baked goods and processed foods.","['Wheat', 'Gluten']",https://www.who.int/teams/nutrition-and-food-safety
Palmolein,A processed palm oil fraction used in frying and processed foods.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
"Leavening Agent (500(ii), 503(ii))",Chemical agents used in baking to help dough rise.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Cereal Extract,Concentrated flavor or nutrient extract from cereal grains.,"['Wheat', 'Barley', 'Gluten']",https://www.who.int/teams/nutrition-and-food-safety
Wheat Gluten,"Protein extracted from wheat, used in baking and processed foods.","['Gluten', 'Wheat']",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Refined Soybean Oil,"Processed oil extracted from soybeans, used in cooking and frying.",['Soy'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Synthetic Vinegar,Artificially produced acetic acid solution used for flavoring.,[],https://www.who.int/teams/nutrition-and-food-safety
Acetic Acid,"A sour-tasting compound found in vinegar, used as a preservative.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Stabilizers,Additives that help maintain the consistency and texture of foods.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Preservatives,Chemicals that prevent spoilage and extend shelf life of food.,['Sulphites'],https://www.who.int/teams/nutrition-and-food-safety
Antioxidant,Compounds that prevent oxidation and preserve food's freshness.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Sequestrant,Additives that bind to metal ions to prevent spoilage and discoloration.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Vegetable Fat,"Fats derived from plants, such as sunflower or canola oil.","['Soy', 'Tree Nuts']",https://www.who.int/teams/nutrition-and-food-safety
Hydrogenated Vegetable Fats,Fats that have been chemically altered to remain solid at room temperature.,['Heart Problems'],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Sesame,"A seed rich in healthy fats and protein, commonly used in baking and cooking.",['Sesame'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Biotin,"A B-vitamin important for skin, hair, and metabolism health.",[],https://www.who.int/teams/nutrition-and-food-safety
Acidity Regulators,Chemicals that help control the pH level of foods for stability and taste.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Malted Barley,"Barley that has been processed to convert starches to sugars, used in brewing and baking.","['Wheat', 'Barley', 'Gluten']",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Docosahexaenoic Acid,"Omega-3 fatty acid important for brain function, typically found in fish oils.",['Fish'],https://www.who.int/teams/nutrition-and-food-safety
Schizochytrium,"Algae-derived source of DHA, often used in vegan supplements and food fortification.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Chlorine,"A chemical used in water purification, sometimes present in foods due to treatment.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Folic Acid,A B-vitamin vital for cell division and healthy pregnancies.,[],https://www.who.int/teams/nutrition-and-food-safety
Palm Olein,"A fraction of palm oil, commonly used for frying and in processed foods.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Peanuts,"A legume often used in snacks and spreads, rich in protein and fats.",['Peanut'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Almonds,"Tree nuts high in healthy fats, protein, and vitamins.","['Almonds', 'Tree Nuts']",https://www.who.int/teams/nutrition-and-food-safety
Macadamias,"A type of tree nut with high fat content, often found in snacks and desserts.",['Macadamia Nut'],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Sulphites,"Preservatives used in dried fruits, wine, and processed foods to prevent spoilage.","['Asthma', 'Sulphite Sensitivity']",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Gluten,"A protein found in wheat, barley, and rye, responsible for dough elasticity.","['Gluten', 'Wheat']",https://www.who.int/teams/nutrition-and-food-safety
Synthetic Food Colour,Artificial coloring agents used to enhance the appearance of food.,"['Red 40', 'Yellow 5']",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Red Chilli Puree,"A paste made from ground red chilies, commonly used in sauces and curries.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Onion Powder,"A finely ground powder made from dehydrated onions, used as a seasoning.",[],https://www.who.int/teams/nutrition-and-food-safety
Thickener,"Substances used to improve the texture of sauces, soups, and processed foods.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Starch,"A carbohydrate found in foods like potatoes, corn, and rice, used as a thickening agent.","['Wheat', 'Corn', 'Potato']",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Garlic Powder,"A powder made from dehydrated garlic, used as a seasoning in many dishes.",[],https://www.who.int/teams/nutrition-and-food-safety
Ghee,Clarified butter commonly used in Indian and Middle Eastern cuisine.,['Milk'],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Butter,"A dairy product made by churning cream, commonly used in cooking and baking.",['Milk'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Palm Oil,"A vegetable oil derived from the fruit of the oil palm tree, commonly used in cooking.",[],https://www.who.int/teams/nutrition-and-food-safety
High-Fructose Corn Syrup,"A sweetener derived from corn, used in soft drinks and processed foods.","['Diabetes', 'Obesity', 'Heart Problems']",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Monosodium Glutamate,A flavor enhancer commonly added to processed foods and Chinese cuisine.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Artificial Sweeteners,"Chemical sweeteners like aspartame, saccharin, and sucralose, used to replace sugar.",['Diabetes'],https://www.who.int/teams/nutrition-and-food-safety
Aspartame,A low-calorie artificial sweetener commonly found in diet sodas and sugar-free products.,['Phenylketonuria (PKU)'],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Saccharin,An artificial sweetener used to add sweetness without calories.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Sucralose,A chlorinated sugar compound used as a sugar substitute in many low-calorie foods.,[],https://www.who.int/teams/nutrition-and-food-safety
Sodium Nitrate,A preservative used in processed meats like bacon and sausages.,"['Heart Problems', 'Cancer']",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Sodium Nitrite,A preservative used to prevent spoilage in cured meats.,"['Heart Problems', 'Cancer']",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Artificial Food Dyes,Synthetic dyes used to color processed foods and candies.,"['Red 40', 'Yellow 5']",https://www.who.int/teams/nutrition-and-food-safety
Propylene Glycol,"A synthetic compound used as a stabilizer, humectant, or preservative in foods and cosmetics.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Soy Lecithin,"A common emulsifier derived from soybeans, used in processed foods to improve texture.",['Soy'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Maltodextrin,"A carbohydrate derived from starch, often used as a thickener or sweetener in processed foods.","['Wheat', 'Corn', 'Potato']",https://www.who.int/teams/nutrition-and-food-safety
Butylated Hydroxyanisole,A synthetic antioxidant used to preserve the freshness of foods.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Butylated Hydroxytoluene,A chemical used to prevent fats and oils in foods from going rancid.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Corn Oils,"Vegetable oil derived from corn, used in cooking and processed foods.",['Corn'],https://www.who.int/teams/nutrition-and-food-safety
Canola Oils,"A vegetable oil extracted from the seeds of the canola plant, used in cooking and processed foods.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Carrageenan,A seaweed-derived thickener and stabilizer used in dairy and plant-based products.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Sodium Benzoate,A preservative used to prevent the growth of harmful bacteria and fungi in food and beverages.,['Preservatives'],https://www.who.int/teams/nutrition-and-food-safety
Potassium Bromate,A chemical used to strengthen dough in bread-making and baked goods.,['Cancer'],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Propyl Gallate,A synthetic antioxidant used to preserve the freshness of fats and oils in foods,,https://www.who.int/teams/nutrition-and-food-safety
Phosphates,Mineral salts added to food for preservation and as a leavening agent.,[],https://www.who.int/teams/nutrition-and-food-safety
Modified Starch,Starch that has been altered through processing to improve texture and stability.,"['Wheat', 'Corn', 'Potato']",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Agave Syrup,"A sweetener derived from the agave plant, used in beverages and food products.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Dimethylpolysiloxane,A synthetic compound used as an anti-foaming agent in processed foods.,[],https://www.who.int/teams/nutrition-and-food-safety
Potassium Sorbate,"A preservative used to prevent the growth of mold, yeast, and bacteria in food.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Calcium Propionate,A preservative used in bread and bakery products to prevent mold growth.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Disodium Inosinate,"A flavor enhancer often used in processed foods, especially in conjunction with MSG.",[],https://www.who.int/teams/nutrition-and-food-safety
Disodium Guanylate,"A flavor enhancer similar to disodium inosinate, used in combination with MSG.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Titanium Dioxide,A white pigment and food additive used for coloring and opacity in food products.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Erythorbic Acid,A form of Vitamin C used as an antioxidant and preservative in food.,[],https://www.who.int/teams/nutrition-and-food-safety
Polysorbates,A group of emulsifiers used to blend ingredients and improve texture in foods.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Sulfites,Chemical preservatives used to prevent discoloration and spoilage in foods like dried fruits and wine.,"['Asthma', 'Sulfite Sensitivity']",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Glycerin,"A sugar alcohol used as a humectant, solvent, and sweetener in food products.",[],https://www.who.int/teams/nutrition-and-food-safety
Sorbitol and Mannitol,Sugar alcohols used as sweeteners in sugar-free foods and chewing gum.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Artificial Translucent Coatings,A synthetic coating used on food products like candies and fruits to add shine.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Shellac,"A resin derived from insects, used as a glossy coating on foods like candy and fruit.",['Shellac'],https://www.who.int/teams/nutrition-and-food-safety
Eggs,"A rich source of protein and nutrients, commonly used in cooking and baking.",['Eggs'],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Vitamin B1,A water-soluble vitamin important for energy metabolism and nerve function.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Vitamin B2,A vitamin that supports energy production and cell function.,[],https://www.who.int/teams/nutrition-and-food-safety
Vitamin B3,A water-soluble vitamin essential for metabolism and skin health.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Vitamin B5,A vitamin crucial for energy production and hormone synthesis.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Vitamin B6,A vitamin essential for brain health and the production of red blood cells.,[],https://www.who.int/teams/nutrition-and-food-safety
Vitamin B9,A B-vitamin important for cell division and pregnancy health.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Vitamin B12,A vitamin critical for nerve function and the production of red blood cells.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Vitamin A,"A fat-soluble vitamin essential for vision, immune function, and skin health.",[],https://www.who.int/teams/nutrition-and-food-safety
Vitamin C,A water-soluble vitamin known for its antioxidant properties and support of immune function.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Vitamin D2,A form of Vitamin D that helps in the absorption of calcium for bone health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Chicken,"Lean protein source, common in many diets.","[""Non Veg""]",https://www.who.int/teams/nutrition-and-food-safety
Fish,"High in omega-3 fatty acids; good for heart health (e.g., Tuna, Salmon).","[""Fish"", ""Non Veg""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Beef,Protein-rich red meat.,"[""Non Veg""]",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Pork,Source of protein and various vitamins.,"[""Non Veg""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Lamb,"Tender red meat, rich in iron and zinc.","[""Non Veg""]",https://www.who.int/teams/nutrition-and-food-safety
Shrimp,"Popular seafood, rich in protein.","[""Shellfish"",""Non Veg""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Crab,Shellfish high in protein and omega-3s.,"[""Shellfish"",""Non Veg""]",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Lobster,"Shellfish delicacy, rich in nutrients.","[""Shellfish"",""Non Veg""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cod,Lean fish with mild flavor.,"[""Fish"", ""Non Veg""]",https://www.who.int/teams/nutrition-and-food-safety
Mackerel,"Fatty fish, high in omega-3s and vitamin D.","[""Fish"", ""Non Veg""]",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Turkey,"Lean protein, common in holiday meals.","[""Non Veg""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Duck,"Rich in fat and flavor, often used in gourmet cooking.","[""Non Veg""]",https://www.who.int/teams/nutrition-and-food-safety
Squid,"Seafood used in many cuisines (e.g., calamari).","[""Shellfish"",""Non Veg""]",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Clams,Shellfish high in iron and vitamin B12.,"[""Shellfish"",""Non Veg""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Scallops,Delicate shellfish with a mild flavor.,"[""Shellfish"",""Non Veg""]",https://www.who.int/teams/nutrition-and-food-safety
Lentils,Legume rich in protein and dietary fiber.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Chickpeas,Source of protein and dietary fiber.,[],https://www.who.int/teams/nutrition-and-food-safety
Black Beans,Nutrient-rich legume.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Kidney Beans,"Red beans rich in protein, fiber, and iron.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Pinto Beans,Creamy legume used in various cuisines.,[],https://www.who.int/teams/nutrition-and-food-safety
Rice,Staple grain used worldwide.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Brown Rice,https://www.who.int/teams/nutrition-and-food-safetyle-grain variety of rice.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Oats,https://www.who.int/teams/nutrition-and-food-safetyle grain rich in fiber and nutrients.,[],https://www.who.int/teams/nutrition-and-food-safety
Quinoa,Gluten-free seed used as a grain.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Millet,"Gluten-free grain, often used in porridges.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Sorghum,Gluten-free grain used in various dishes.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Tapioca,"Starch extracted from cassava root, used as a thickener.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Coconut Milk,"Liquid from grated coconut, used in cooking.","[""Tree Nut""]",https://www.who.int/teams/nutrition-and-food-safety
Coconut Oil,"Oil extracted from coconut, used in cooking.","[""Tree Nut""]",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Olive Oil,"Oil extracted from olives, rich in monounsaturated fats.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sunflower Oil,"Oil extracted from sunflower seeds, commonly used in cooking.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Sesame Oil,"Oil extracted from sesame seeds, used in cooking and flavoring.","[""Sesame""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Flaxseeds,High in omega-3 fatty acids and fiber.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Chia Seeds,"Tiny seeds rich in omega-3s, fiber, and antioxidants.",[],https://www.who.int/teams/nutrition-and-food-safety
Pumpkin Seeds,"Seeds from pumpkins, high in protein and iron.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cabbage,Cruciferous vegetable high in fiber and vitamins.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Spinach,"Leafy green rich in vitamins, iron, and antioxidants.",[],https://www.who.int/teams/nutrition-and-food-safety
Broccoli,"Cruciferous vegetable rich in vitamin C, fiber, and folate.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Carrots,"Root vegetable rich in beta-carotene, fiber, and vitamin A.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Sweet Potatoes,Root vegetable rich in fiber and beta-carotene.,[],https://www.who.int/teams/nutrition-and-food-safety
Mushrooms,"Fungi rich in nutrients, often used in savory dishes.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Apples,"Fruit high in fiber, vitamin C, and antioxidants.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Bananas,Tropical fruit high in potassium and fiber.,[],https://www.who.int/teams/nutrition-and-food-safety
Oranges,Citrus fruit high in vitamin C and antioxidants.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Grapes,"Fruit high in antioxidants, particularly resveratrol.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Blueberries,Berries rich in antioxidants and vitamins.,[],https://www.who.int/teams/nutrition-and-food-safety
Strawberries,Berry rich in vitamin C and antioxidants.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Pineapple,Tropical fruit high in vitamin C and bromelain.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Mango,"Tropical fruit rich in vitamin C, fiber, and antioxidants.",[],https://www.who.int/teams/nutrition-and-food-safety
Papaya,Tropical fruit high in vitamin C and digestive enzymes.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Xanthan Gum,Thickening agent used in foods and cosmetics.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Guar Gum,"Derived from guar beans, used as a thickener and stabilizer.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Sodium Alginate,A thickening agent derived from seaweed.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Potassium Citrate,Potassium salt used as a food additive to control acidity.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Calcium Carbonate,Mineral compound used as a food additive and supplement.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sorbic Acid,Preservative used in foods and cosmetics to prevent spoilage.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Benzoyl Peroxide,A bleaching agent used in food processing and acne treatment.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Ammonium Bicarbonate,Leavening agent used in baking.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Citric Acid,Organic acid used to add tartness and as a preservative.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Lactic Acid,Organic acid used as a preservative and pH regulator.,[],https://www.who.int/teams/nutrition-and-food-safety
Malic Acid,"Organic acid found in fruits, used for sourness and preservation.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Tartaric Acid,Organic acid used to stabilize wine and as a food additive.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Lecithins,"Fatty substances derived from plants, used as emulsifiers.",[],https://www.who.int/teams/nutrition-and-food-safety
Propionic Acid,"Organic acid used as a preservative, particularly in baked goods.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Phosphoric Acid,"Acid used in food, beverages, and as a cleaning agent.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Calcium Disodium EDTA,Used as a preservative and stabilizer in food.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Tert-Butylhydroquinone,Antioxidant used to preserve fats and oils in food.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Stearic Acid,Fatty acid used in the food industry and cosmetics.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Ammonium Sulfate,Inorganic salt used in fertilizers and as a food additive.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sodium Erythorbate,A preservative that prevents the oxidation of fats and oils.,[],https://www.who.int/teams/nutrition-and-food-safety
Ascorbic Acid,"Vitamin C, used as an antioxidant and preservative in food.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Glyceryl Monostearate,Emulsifier used to combine oil and water in food products.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sodium Tripolyphosphate,Used as a preservative and emulsifier in seafood and meat.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Magnesium Stearate,Used as a lubricant and emulsifier in food and pharmaceuticals.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Polyethylene Glycol,"Used as a thickener and emulsifier in foods, cosmetics, and medicines.",[],https://www.who.int/teams/nutrition-and-food-safety
Sodium Metabisulfite,"Preservative and antioxidant, used to preserve foods and beverages.","[""Sulphite Sensitivity""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Potassium Metabisulfite,"Used as a preservative and antioxidant, often in dried fruits.","[""Sulphite Sensitivity""]",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Ethyl Vanillin,"Synthetic flavoring agent, used to mimic vanilla flavor.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cellulose Gum,Used as a thickener and stabilizer in processed foods.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Microcrystalline Cellulose,Used as a binder and filler in food and pharmaceuticals.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Silicon Dioxide,Anti-caking agent used in powdered foods and supplements.,[],https://www.who.int/teams/nutrition-and-food-safety
Calcium Stearate,Used as a lubricant and emulsifier in food production.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Mono- and Diglycerides,Emulsifiers used to blend ingredients in food.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Sodium Bicarbonate,Leavening agent used in baking and as an antacid.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Caramel Color,"Colorant made by heating sugar, used in beverages and foods.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Annatto Extract,Natural food colorant derived from seeds of the achiote tree.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cochineal Extract,"Red colorant derived from insects, used in food and cosmetics.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Beta-Carotene,"Pro-vitamin A, used as a colorant and antioxidant.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Lutein,"Antioxidant found in green leafy vegetables, used for eye health.",[],https://www.who.int/teams/nutrition-and-food-safety
Lycopene,"Antioxidant found in tomatoes, used for health and color.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Pectin,"Natural gelling agent extracted from fruits, used in jams.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
